news_id,news_type,news_leibie,news_type_des,news_url,news_title_show,news_tag_img,news_star_time_show,news_end_time_show,contain_kwd_fujian,news_diqustr,news_zbje_show,news_zhongbiaojine_show,is_xiangmu,news_gczj_show,news_jieduan_show,news_cgfs
295158903,1,2,招标公告,//www.bidcenter.com.cn/news-295158903-1.html,浙江天正项目管理咨询有限公司关于天台县图书馆网络安全采购项目的公开招标公告-采购/资审公告,1,2024-07-04,2024-07-25,内容或标书,浙江,37万元,--,false,--,,公开招标
295199503,1,2,招标公告,//www.bidcenter.com.cn/news-295199503-1.html,采购公告：皮肤真菌荧光检测系统采购项目,1,2024-07-04,2024-07-10,内容或标书,重庆,6.5万元,--,false,--,,竞争性谈判
295290441,1,2,招标公告,//www.bidcenter.com.cn/news-295290441-1.html,兰州师范附属小学创客教室设备采购招标公告,1,2024-07-04,2024-07-07,内容或标书,甘肃,35万元,--,false,--,,邀请招标
295191386,1,2,招标公告,//www.bidcenter.com.cn/news-295191386-1.html,东莞市公安局万江分局“11.16专案”电子数据司法鉴定第二期-采购公告,,2024-07-04,2024-07-08,内容,广东,21.5万元,--,false,--,,--
295247307,1,2,招标公告,//www.bidcenter.com.cn/news-295247307-1.html,内蒙古大学采购采购科研用高性能计算机网上询价项目网上询价公告,,2024-07-04,2024-07-10,内容,内蒙古,135万元,--,false,--,,网上询价
295175949,1,2,招标公告,//www.bidcenter.com.cn/news-295175949-1.html,东莞市公安局万江分局“11.16专案”电子数据司法鉴定第二期,,2024-07-04,2024-07-08,内容,广东,21.5万元,--,false,--,,--
295361129,1,2,招标公告,//www.bidcenter.com.cn/news-295361129-1.html,中国人民大学苏州校区2024年暑期研学营考核方案,,2024-07-04,--,内容,江苏,--,--,false,--,,--
295348238,1,2,招标公告,//www.bidcenter.com.cn/news-295348238-1.html,浙江省国际技术设备招标有限公司关于湖州师范学院教师教育学院数字化阅读与学习科学实验室设备采购的公开招标公告-采购/资审公告,1,2024-07-04,2024-07-25,内容或标书,浙江,150万元,--,false,--,,公开招标
295245043,5,2,采购信息,//www.bidcenter.com.cn/news-295245043-5.html,呼吸道感染生物样本数据库采购,,2024-07-04,,内容,跨省,--,--,false,--,,--
295358103,5,2,采购信息,//www.bidcenter.com.cn/news-295358103-5.html,数值模拟计算平台,,2024-07-04,--,内容,陕西,--,--,false,--,,竞价
295329989,5,2,采购信息,//www.bidcenter.com.cn/news-295329989-5.html,新医科虚实融合实训平台购置采购,,2024-07-04,,内容,天津,--,--,false,--,,竞价
295105358,1,3,招标公告,//www.bidcenter.com.cn/news-295105358-1.html,信息安全设备扩容升级及服务采购公告,1,2024-07-03,2024-07-15,内容或标书,江苏,127.18万元,--,false,--,,竞争性磋商
295085810,1,1,招标公告,//www.bidcenter.com.cn/news-295085810-1.html,中山市古镇人民医院迁建项目信息化建设一期项目公开招标公告,1,2024-07-03,2024-07-25,内容或标书,广东,912.23万元,--,false,--,,公开招标
295060389,1,3,招标公告,//www.bidcenter.com.cn/news-295060389-1.html,山东水利职业学院《Python语言程序设计》课程建设采购项目公开招标公告,,2024-07-03,2024-07-25,内容,山东,15万元,--,false,--,,公开招标
295065595,1,2,招标公告,//www.bidcenter.com.cn/news-295065595-1.html,广州城市职业学院2024年人工智能应用开发实训室招标公告,1,2024-07-03,2024-07-24,内容或标书,广东,335.5万元,--,false,--,,公开招标
295086330,1,3,招标公告,//www.bidcenter.com.cn/news-295086330-1.html,萧山区政务云信创服务政府采购项目-采购公告,2,2024-07-03,2024-07-24,内容或附件,浙江,1315万元,--,false,--,,--
295058446,1,3,招标公告,//www.bidcenter.com.cn/news-295058446-1.html,关于萧山区政务云信创服务政府采购项目的公开招标公告,2,2024-07-03,2024-07-24,内容或附件,浙江,1315万元,--,false,--,,公开招标
295044261,1,2,招标公告,//www.bidcenter.com.cn/news-295044261-1.html,浙江省成套招标代理有限公司关于杭州市市场监督管理局深化信创2024年项目的公开招标公告,2,2024-07-03,2024-07-24,内容或附件,浙江,1260万元,--,false,--,,公开招标
295034240,1,2,招标公告,//www.bidcenter.com.cn/news-295034240-1.html,株洲师范高等专科学校2024年纸质图书采购,2,2024-07-03,--,内容或附件,湖南,20万元,--,false,--,,竞价
295030217,1,1,招标公告,//www.bidcenter.com.cn/news-295030217-1.html,先进制造生产性产教融合基地一建设项目子项目二：设备采购需求公示,2,2024-07-03,--,内容或附件,贵州,465万元,--,false,--,,--
295032137,1,3,招标公告,//www.bidcenter.com.cn/news-295032137-1.html,甘肃中医药大学优质慕课建设服务项目公开招标公告,2,2024-07-03,2024-07-24,内容或附件,甘肃,99万元,--,false,--,,公开招标
295009540,1,2,招标公告,//www.bidcenter.com.cn/news-295009540-1.html,西南大学MRI中心竞争性磋商,2,2024-07-03,2024-07-18,内容或附件,重庆,185.70万元,--,false,--,,竞争性磋商
294987763,1,2,招标公告,//www.bidcenter.com.cn/news-294987763-1.html,浙江天平投资咨询有限公司关于科创实验室项目的公开招标公告,1,2024-07-03,2024-07-24,内容或标书,浙江,44.94万元,--,false,--,,公开招标
294969755,1,1,招标公告,//www.bidcenter.com.cn/news-294969755-1.html,山东工程技师学院协作机器人项目竞争性磋商公告,1,2024-07-03,2024-07-15,内容或标书,山东,10万元,--,false,--,,竞争性磋商
294953267,1,3,招标公告,//www.bidcenter.com.cn/news-294953267-1.html,黄江镇人民政府采购政务短信服务竞争性谈判公告,1,2024-07-03,2024-07-10,内容或标书,广东,120万元,--,false,--,,竞争性谈判
294946816,1,2,招标公告,//www.bidcenter.com.cn/news-294946816-1.html,大同煤炭职业技术学院征订学年第一学期教材,,2024-07-03,2024-07-09,内容,山西,--,--,false,--,,询比价
295020696,1,2,招标公告,//www.bidcenter.com.cn/news-295020696-1.html,大同煤炭职业技术学院征订学年第一学期教材,,2024-07-03,--,内容,山西,--,--,false,--,,询价
294935425,1,2,招标公告,//www.bidcenter.com.cn/news-294935425-1.html,湖南省消防救援总队火灾调查技术中心装备采购项目竞争性谈判邀请公告,2,2024-07-03,2024-07-23,内容或附件,湖南,45.30万元,--,false,--,,竞争性谈判
294929442,1,3,招标公告,//www.bidcenter.com.cn/news-294929442-1.html,高性能计算及存储资源租赁采购项目比价公告第1包,2,2024-07-03,--,内容或附件,湖南,0.4万元,--,false,--,,--
